Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Mozambique,Potatoes,1990,120710,1032,102.26,21.51
Mexico,Cassava,2000,113284,758,34468.93,20.19
Brazil,Soybeans,1995,21998,1761,92967.22,24.77
Cameroon,Soybeans,1991,6034,1604,99.09,24.99
Switzerland,Maize,2004,96142,1537,1390.7,7.67
Bahamas,Cassava,2006,106250,1292,268.2,25.34
Ecuador,Plantains and others,1998,93279,2274,21500.0,18.12
Angola,Sorghum,2007,4031,1010,40.0,24.24
India,Sorghum,2013,8502,1083,45620.0,26.99
Albania,Soybeans,1994,7927,1485,201.0,16.96
Australia,Sweet potatoes,2013,344391,534,45177.18,20.14
India,Potatoes,1995,162720,1083,61257.0,25.92
Turkey,"Rice, paddy",1995,50045,593,27328.0,10.93
India,Wheat,1990,21211,1083,75000.0,25.44
Australia,Sweet potatoes,1996,172474,534,31185.0,16.12
Pakistan,Sweet potatoes,2006,118514,494,6925.13,23.28
Indonesia,Soybeans,2009,13483,2702,1597.0,27.69
Pakistan,Wheat,1999,21698,494,20450.0,27.54
Turkey,Potatoes,1999,272975,593,33089.0,13.02
India,Wheat,1992,23940,1083,70791.0,26.41
Qatar,Wheat,2008,30000,74,68.0,27.92
Australia,Sorghum,1999,32215,534,34200.0,19.28
India,Wheat,1992,23940,1083,70791.0,25.91
Suriname,"Rice, paddy",1997,39827,2331,139.0,27.27
Papua New Guinea,Yams,2005,165714,3142,105.0,25.51
Burundi,Cassava,2009,41867,1274,177.75,21.42
Pakistan,Potatoes,2000,169078,494,27885.0,19.68
Mexico,Sweet potatoes,1993,185676,758,34468.93,19.73
Ecuador,Maize,1996,11425,2274,2407.0,17.23
Dominican Republic,Plantains and others,2007,107774,1410,5689.8,27.08
Suriname,"Rice, paddy",2005,35984,2331,1426.37,27.7
Brazil,Sweet potatoes,2011,124266,1761,345026.0,21.74
Australia,Maize,2002,54929,534,26651.0,18.93
Romania,Sorghum,2006,17986,637,6733.2,11.63
Iraq,Sorghum,1998,10000,216,755.0,24.33
Nicaragua,Cassava,1993,115556,2280,977.0,27.05
Zimbabwe,Wheat,1992,50893,657,3303.0,21.93
Brazil,Wheat,1999,19699,1761,127585.0,21.59
Switzerland,Soybeans,2013,25252,1537,2098.5,7.94
Brazil,Sweet potatoes,2005,113360,1761,232232.0,27.6
Austria,Wheat,2006,49066,1110,3415.7,9.13
Bulgaria,Maize,2001,24713,608,2747.25,9.55
Ghana,Maize,1994,14933,1187,65.8,26.62
Peru,Plantains and others,2001,120549,1738,8414.17,16.95
Saudi Arabia,Sorghum,2008,24325,59,4372.61,26.64
Ecuador,Maize,1996,11425,2274,2407.0,21.69
Brazil,Maize,1993,25321,1761,75658.33,28.18
Argentina,Wheat,2009,19628,591,61586.56,18.16
Tunisia,Sorghum,2009,4733,207,422.24,19.64
India,"Rice, paddy",1992,26092,1083,70791.0,26.09
Pakistan,Maize,2001,17631,494,11871.0,23.62
Indonesia,Cassava,2005,159224,2702,1597.0,25.59
Ghana,Sweet potatoes,2013,18243,1187,378.97,27.24
Egypt,Sweet potatoes,2004,281242,51,5363.0,21.06
India,Wheat,2012,31775,1083,52980.0,24.37
Peru,Sweet potatoes,1995,171233,1738,3134.0,17.26
Pakistan,Sorghum,1997,5926,494,16936.0,25.16
Latvia,Potatoes,2008,178148,641,1033.0,7.67
Zambia,Cassava,1996,61172,1020,1670.0,21.19
Burkina Faso,Potatoes,1994,61538,748,6.0,28.0
Indonesia,Maize,2000,27649,2702,1597.0,27.44
Brazil,Cassava,1998,123522,1761,118930.56,24.78
India,Wheat,1991,22814,1083,72133.0,26.9
Morocco,"Rice, paddy",1993,50000,346,10585.43,16.94
Canada,Maize,2011,88946,537,62107.2,7.3
Pakistan,Wheat,1998,22376,494,18406.0,23.11
Brazil,Potatoes,2008,253729,1761,312637.0,18.8
Germany,Wheat,1999,75411,700,30019.0,10.58
Brazil,Cassava,2008,141371,1761,312637.0,20.22
Brazil,Wheat,1996,18334,1761,101621.67,17.83
Morocco,Sweet potatoes,2012,270783,346,13697.0,18.24
India,Wheat,1997,26789,1083,52279.0,24.55
Iraq,Potatoes,1996,177576,216,616.0,23.96
Indonesia,Cassava,1993,123323,2702,1597.0,26.88
India,Sweet potatoes,1997,84850,1083,52279.0,25.21
Australia,"Rice, paddy",2008,75988,534,42935.38,12.0
Morocco,"Rice, paddy",2012,76015,346,13697.0,18.2
Rwanda,Yams,2000,33333,1212,147.0,19.59
Japan,Maize,2004,25000,1668,64688.88,16.56
Brazil,Cassava,1993,120628,1761,75658.33,20.49
Japan,"Rice, paddy",2002,65823,1668,70262.54,16.0
Ecuador,Soybeans,1992,16420,2274,2012.0,22.19
Italy,"Rice, paddy",1994,57661,832,81217.6,13.53
Pakistan,Sorghum,1994,6011,494,6183.0,26.36
Portugal,"Rice, paddy",2009,56818,854,13984.91,16.84
Kenya,Cassava,1991,100000,630,3469.0,16.26
Bulgaria,Maize,2013,63943,608,1197.0,11.26
Brazil,Soybeans,2000,24033,1761,140423.0,18.65
India,"Rice, paddy",1990,26125,1083,75000.0,25.25
India,Potatoes,2000,186443,1083,44957.52,25.11
Mauritania,Maize,2002,5644,92,3.2,27.84
Morocco,Soybeans,2009,10000,346,13697.0,18.73
Suriname,"Rice, paddy",1998,37581,2331,151.33,27.65
Japan,Potatoes,2006,304273,1668,65248.26,15.45
Pakistan,Sweet potatoes,2008,111477,494,4946.79,23.21
South Africa,Potatoes,2004,346081,495,26857.0,18.75
India,Sorghum,1990,8136,1083,75000.0,24.78
